Entry	Reviewed	Protein names	Gene Names	Organism	Length	InterPro	Pfam	Domain [CC]	Domain [FT]	Region
A0A375YBU2	unreviewed	Putative acetyl-CoA acetyltransferase FadA6 (Acetoacetyl-CoA thiolase) [Mycobacterium tuberculosis H37Rv]	MPP7335_00242	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	383	IPR002155;IPR016039;IPR020617;IPR020613;IPR020616;	PF02803;PF00108;		DOMAIN 5..252; /note="Thiolase N-terminal"; /evidence="ECO:0000259|Pfam:PF00108"; DOMAIN 259..381; /note="Thiolase C-terminal"; /evidence="ECO:0000259|Pfam:PF02803"	
A0A375YBU5	unreviewed	Putative epoxide hydrolase EphA (Epoxide hydratase) (Arene-oxide hydratase) [Mycobacterium tuberculosis H37Rv]	MPP7335_00322	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	321	IPR000073;IPR029058;IPR000639;	PF00561;		DOMAIN 24..306; /note="AB hydrolase-1"; /evidence="ECO:0000259|Pfam:PF00561"	
A0A375YBV1	unreviewed	Putative acyl-CoA dehydrogenase FadE31 [Mycobacterium tuberculosis H37Rv]	MPP7335_00252	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	374	IPR006091;IPR046373;IPR036250;IPR009075;IPR013786;IPR037069;IPR009100;IPR052161;	PF00441;PF02770;PF02771;		DOMAIN 7..120; /note="Acyl-CoA dehydrogenase/oxidase N-terminal"; /evidence="ECO:0000259|Pfam:PF02771"; DOMAIN 124..218; /note="Acyl-CoA oxidase/dehydrogenase middle"; /evidence="ECO:0000259|Pfam:PF02770"; DOMAIN 231..369; /note="Acyl-CoA dehydrogenase/oxidase C-terminal"; /evidence="ECO:0000259|Pfam:PF00441"	
A0A375YBV9	unreviewed	Putative heme degrading protein MhuD [Mycobacterium tuberculosis H37Rv]	MPP7335_00303	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	105	IPR007138;IPR011008;IPR050404;	PF03992;		DOMAIN 3..92; /note="ABM"; /evidence="ECO:0000259|PROSITE:PS51725"	
A0A375YBZ3	unreviewed	Putative epoxide hydrolase EphE (Epoxide hydratase) (Arene-oxide hydratase) [Mycobacterium tuberculosis H37Rv]	MPP7335_00360	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	321	IPR000073;IPR029058;IPR000639;	PF00561;		DOMAIN 51..305; /note="AB hydrolase-1"; /evidence="ECO:0000259|Pfam:PF00561"	
A0A375YBZ5	unreviewed	Putative hydrolase [Mycobacterium tuberculosis H37Rv]	MPP7335_00302	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	256	IPR000073;IPR029058;IPR050266;	PF12697;		DOMAIN 16..241; /note="AB hydrolase-1"; /evidence="ECO:0000259|Pfam:PF12697"	
A0A375YC03	unreviewed	Putative helicase [Mycobacterium tuberculosis H37Rv]	MPP7335_00346	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	782	IPR011545;IPR014001;IPR001650;IPR022307;IPR055227;IPR018973;IPR027417;	PF00270;PF00271;PF09369;PF22982;		DOMAIN 71..259; /note="Helicase ATP-binding"; /evidence="ECO:0000259|PROSITE:PS51192"; DOMAIN 300..453; /note="Helicase C-terminal"; /evidence="ECO:0000259|PROSITE:PS51194"	
A0A375YC14	unreviewed	Putative anion transporter ATPase [Mycobacterium tuberculosis H37Rv]	MPP7335_00372	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	377	IPR025723;IPR016300;IPR027417;	PF02374;		DOMAIN 20..287; /note="Anion-transporting ATPase-like"; /evidence="ECO:0000259|Pfam:PF02374"	
A0A375YC18	unreviewed	Putative hydrolase [Mycobacterium tuberculosis H37Rv]	MPP7335_00368	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	257	IPR001018;IPR041516;IPR001279;IPR036866;IPR050662;IPR036388;	PF17778;PF00753;		DOMAIN 31..187; /note="Metallo-beta-lactamase"; /evidence="ECO:0000259|SMART:SM00849"	
A0A375YC21	unreviewed	Putative anion transporter ATPase [Mycobacterium tuberculosis H37Rv]	MPP7335_00371	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	319	IPR025723;IPR016300;IPR027417;	PF02374;		DOMAIN 1..160; /note="Anion-transporting ATPase-like"; /evidence="ECO:0000259|Pfam:PF02374"	
A0A375YC47	unreviewed	Putative methanol dehydrogenase transcriptional regulatory protein MoxR2 [Mycobacterium tuberculosis H37Rv]	MPP7335_00403	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	320	IPR011703;IPR050764;IPR041628;IPR027417;	PF07726;PF17863;		DOMAIN 44..174; /note="ATPase AAA-3"; /evidence="ECO:0000259|Pfam:PF07726"; DOMAIN 240..310; /note="ChlI/MoxR AAA lid"; /evidence="ECO:0000259|Pfam:PF17863"	
A0A375YC87	unreviewed	Putative DNA polymerase III (Epsilon subunit) DnaQ [Mycobacterium tuberculosis H37Rv]	MPP7335_00454	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	333	IPR036420;IPR006054;IPR013520;IPR012337;IPR036397;	PF00929;		DOMAIN 19..184; /note="Exonuclease"; /evidence="ECO:0000259|SMART:SM00479"	
A0A375YCA7	unreviewed	Putative fatty acid synthase [Mycobacterium tuberculosis H37Rv]	MPP7335_00463	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	440	IPR050723;IPR003333;IPR020803;IPR029063;	PF02353;		DOMAIN 168..420; /note="Polyketide synthase-like methyltransferase"; /evidence="ECO:0000259|SMART:SM00828"	
A0A375YCB9	unreviewed	Putative serine protease PepA (Serine proteinase) (MTB32A) [Mycobacterium tuberculosis H37Rv]	MPP7335_00469	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	339	IPR051201;IPR001478;IPR036034;IPR009003;IPR043504;IPR001940;	PF13180;PF13365;		DOMAIN 249..302; /note="PDZ"; /evidence="ECO:0000259|PROSITE:PS50106"	
A0A375YCF1	unreviewed	Prephenate dehydrogenase TyrA (PDH) (Hydroxyphenylpyruvate synthase) [Mycobacterium tuberculosis H37Rv]	MPP7335_00532	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	319	IPR008927;IPR036291;IPR046825;IPR046826;IPR050812;IPR003099;	PF20463;PF02153;		DOMAIN 4..286; /note="Prephenate/arogenate dehydrogenase"; /evidence="ECO:0000259|PROSITE:PS51176"	
A0A375YCF9	unreviewed	Putative osmoprotectant (Glycine betaine/carnitine/choline/L-proline) binding lipoprotein ProX [Mycobacterium tuberculosis H37Rv]	MPP7335_00537	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	316	IPR007210;	PF04069;		DOMAIN 42..306; /note="ABC-type glycine betaine transport system substrate-binding"; /evidence="ECO:0000259|Pfam:PF04069"	
A0A375YCH1	unreviewed	Putative osmoprotectant (Glycine betaine/carnitine/choline/L-proline) transport integral membrane protein ABC transporter ProW [Mycobacterium tuberculosis H37Rv]	MPP7335_00535	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	224	IPR051204;IPR000515;IPR035906;	PF00528;		DOMAIN 15..197; /note="ABC transmembrane type-1"; /evidence="ECO:0000259|PROSITE:PS50928"	
A0A375YCH9	unreviewed	UDP-galactofuranosyl transferase GlfT1 [Mycobacterium tuberculosis H37Rv]	MPP7335_00560	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	298	IPR001173;IPR029044;	PF00535;		DOMAIN 8..114; /note="Glycosyltransferase 2-like"; /evidence="ECO:0000259|Pfam:PF00535"	
A0A375YCI4	unreviewed	Putative O-antigen/lipopolysaccharide transport ATP-binding protein ABC transporter RfbE [Mycobacterium tuberculosis H37Rv]	MPP7335_00559	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	271	IPR003593;IPR003439;IPR015860;IPR050683;IPR027417;	PF00005;		DOMAIN 23..257; /note="ABC transporter"; /evidence="ECO:0000259|PROSITE:PS50893"	
A0A375YCI6	unreviewed	Putative osmoprotectant (Glycine betaine/carnitine/choline/L-proline) transport integral membrane protein ABC transporter ProZ [Mycobacterium tuberculosis H37Rv]	MPP7335_00534	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	260	IPR051204;IPR000515;IPR035906;	PF00528;		DOMAIN 27..206; /note="ABC transmembrane type-1"; /evidence="ECO:0000259|PROSITE:PS50928"	REGION 238..260; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
A0A375YCI8	unreviewed	Putative acyl-CoA dehydrogenase FadE36 [Mycobacterium tuberculosis H37Rv]	MPP7335_00540	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	340	IPR052898;IPR041726;IPR002575;IPR011009;	PF01636;		DOMAIN 30..250; /note="Aminoglycoside phosphotransferase"; /evidence="ECO:0000259|Pfam:PF01636"	
A0A375YCJ1	unreviewed	Putative propionyl-CoA carboxylase beta chain 4 AccD4 (Pccase) (Propanoyl-CoA:carbon dioxide ligase) [Mycobacterium tuberculosis H37Rv]	MPP7335_00576	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	516	IPR051047;IPR034733;IPR029045;IPR011763;IPR011762;	PF01039;		DOMAIN 6..256; /note="CoA carboxyltransferase N-terminal"; /evidence="ECO:0000259|PROSITE:PS50980"; DOMAIN 265..498; /note="CoA carboxyltransferase C-terminal"; /evidence="ECO:0000259|PROSITE:PS50989"	
A0A375YCJ8	unreviewed	Putative enoyl-CoA hydratase EchA21 (Enoyl hydrase) (Unsaturated acyl-CoA hydratase) (Crotonase) [Mycobacterium tuberculosis H37Rv]	MPP7335_00552	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	273	IPR029045;IPR045002;IPR001753;IPR014748;	PF00378;			
A0A375YCK1	unreviewed	Bifunctional UDP-galactofuranosyl transferase GlfT2 [Mycobacterium tuberculosis H37Rv]	MPP7335_00586	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	647	IPR045699;IPR040492;IPR029044;	PF19320;PF17994;PF13641;		DOMAIN 20..165; /note="Galactofuranosyltransferase GlfT2 N-terminal"; /evidence="ECO:0000259|Pfam:PF17994"; DOMAIN 445..639; /note="Galactofuranosyltransferase-2 C-terminal"; /evidence="ECO:0000259|Pfam:PF19320"	
A0A375YCK3	unreviewed	Putative aminotransferase [Mycobacterium tuberculosis H37Rv]	MPP7335_00557	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	398	IPR000192;IPR011340;IPR015424;IPR015421;IPR015422;	PF00266;		DOMAIN 49..390; /note="Aminotransferase class V"; /evidence="ECO:0000259|Pfam:PF00266"	
A0A375YCL0	unreviewed	Decaprenylphosphoryl-beta-D-ribose 2'-oxidase [Mycobacterium tuberculosis H37Rv]	MPP7335_00568	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	465	IPR007173;IPR016166;IPR036318;IPR016169;IPR010031;IPR006094;IPR016171;	PF04030;PF01565;		DOMAIN 21..198; /note="FAD-binding PCMH-type"; /evidence="ECO:0000259|PROSITE:PS51387"	
A0A375YCM6	unreviewed	Putative phosphoglycerate mutase (Phosphoglyceromutase) (Phosphoglycerate phosphomutase) [Mycobacterium tuberculosis H37Rv]	MPP7335_00599	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	231	IPR013078;IPR029033;IPR001345;IPR050275;	PF00300;			
A0A375YCM7	unreviewed	PPE family protein PPE35 [Mycobacterium tuberculosis H37Rv]	MPP7335_00588	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	336					REGION 110..212; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
A0A375YCN9	unreviewed	Transcriptional regulatory repressor protein (TetR-family) EthR [Mycobacterium tuberculosis H37Rv]	MPP7335_00620	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	213	IPR049397;IPR009057;IPR050109;IPR001647;IPR036271;	PF21313;PF00440;		DOMAIN 21..81; /note="HTH tetR-type"; /evidence="ECO:0000259|PROSITE:PS50977"	REGION 1..21; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
A0A375YCP0	unreviewed	Putative transcriptional regulatory protein (Possibly ArsR-family) [Mycobacterium tuberculosis H37Rv]	MPP7335_00626	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	199	IPR017520;IPR034660;IPR017517;IPR024344;	PF11716;		DOMAIN 15..136; /note="Mycothiol-dependent maleylpyruvate isomerase metal-binding"; /evidence="ECO:0000259|Pfam:PF11716"	
A0A375YCP5	unreviewed	Secreted antigen 85-a FbpA (Mycolyl transferase 85A) (Fibronectin-binding protein A) (Antigen 85 complex A) [Mycobacterium tuberculosis H37Rv]	MPP7335_00582	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	350	IPR029058;IPR000801;IPR050583;	PF00756;			
A0A375YCP7	unreviewed	Putative O-antigen/lipopolysaccharide transport integral membrane protein ABC transporter RfbD [Mycobacterium tuberculosis H37Rv]	MPP7335_00561	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	276	IPR013525;	PF01061;		DOMAIN 30..236; /note="ABC-2 type transporter transmembrane"; /evidence="ECO:0000259|Pfam:PF01061"	
A0A375YCQ0	unreviewed	Putative glycerophosphoryl diester phosphodiesterase GlpQ1 (Glycerophosphodiester phosphodiesterase) [Mycobacterium tuberculosis H37Rv]	MPP7335_00603	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	273	IPR030395;IPR017946;	PF03009;		DOMAIN 11..263; /note="GP-PDE"; /evidence="ECO:0000259|PROSITE:PS51704"	
A0A375YCQ1	unreviewed	Putative oxidoreductase [Mycobacterium tuberculosis H37Rv]	MPP7335_00636	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	338	IPR001509;IPR036291;IPR051783;	PF01370;		DOMAIN 3..233; /note="NAD-dependent epimerase/dehydratase"; /evidence="ECO:0000259|Pfam:PF01370"	
A0A375YCQ6	unreviewed	Putative cytochrome P450 138 Cyp138 [Mycobacterium tuberculosis H37Rv]	MPP7335_00640	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	445	IPR001128;IPR017972;IPR002401;IPR036396;IPR050121;	PF00067;			
A0A375YCQ7	unreviewed	Putative acyltransferase [Mycobacterium tuberculosis H37Rv]	MPP7335_00592	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	262	IPR002123;	PF01553;		DOMAIN 37..153; /note="Phospholipid/glycerol acyltransferase"; /evidence="ECO:0000259|SMART:SM00563"	REGION 234..262; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
A0A375YCR5	unreviewed	Secreted MPT51/MPB51 antigen protein FbpD (MPT51/MPB51 antigen 85 complex C) (AG58C) (Mycolyl transferase 85C) (Fibronectin-binding protein C) (85C) [Mycobacterium tuberculosis H37Rv]	MPP7335_00581	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	300	IPR029058;IPR000801;IPR050583;	PF00756;			
A0A375YCS7	unreviewed	Putative acyltransferase [Mycobacterium tuberculosis H37Rv]	MPP7335_00591	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	248	IPR002123;	PF01553;		DOMAIN 37..151; /note="Phospholipid/glycerol acyltransferase"; /evidence="ECO:0000259|SMART:SM00563"	
A0A375YCX4	unreviewed	Putative transcriptional regulatory protein [Mycobacterium tuberculosis H37Rv]	MPP7335_00641	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	198	IPR009057;IPR050109;IPR001647;	PF00440;		DOMAIN 12..72; /note="HTH tetR-type"; /evidence="ECO:0000259|PROSITE:PS50977"	
A0A375YCY7	unreviewed	Putative transcriptional regulatory protein (Probably TetR/AcrR-family) [Mycobacterium tuberculosis H37Rv]	MPP7335_00716	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	199	IPR009057;IPR001647;IPR036271;IPR011075;	PF16925;PF00440;		DOMAIN 13..73; /note="HTH tetR-type"; /evidence="ECO:0000259|PROSITE:PS50977"	
A0A375YCZ8	unreviewed	Putative lipase LipE [Mycobacterium tuberculosis H37Rv]	MPP7335_00682	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	362	IPR001466;IPR012338;IPR050789;	PF00144;		DOMAIN 5..349; /note="Beta-lactamase-related"; /evidence="ECO:0000259|Pfam:PF00144"	
A0A375YD03	unreviewed	Alternative RNA polymerase sigma-E factor (Sigma-24) SigH (RPOE) [Mycobacterium tuberculosis H37Rv]	MPP7335_00671	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	194	IPR039425;IPR014284;IPR007627;IPR013249;IPR013325;IPR013324;IPR036388;	PF04542;PF08281;		DOMAIN 24..82; /note="RNA polymerase sigma-70 region 2"; /evidence="ECO:0000259|Pfam:PF04542"; DOMAIN 124..175; /note="RNA polymerase sigma factor 70 region 4 type 2"; /evidence="ECO:0000259|Pfam:PF08281"	
A0A375YD19	unreviewed	Putative dehydrogenase [Mycobacterium tuberculosis H37Rv]	MPP7335_00691	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	381	IPR013149;IPR013154;IPR002328;IPR011032;IPR036291;	PF08240;PF00107;		DOMAIN 23..135; /note="Alcohol dehydrogenase-like N-terminal"; /evidence="ECO:0000259|Pfam:PF08240"; DOMAIN 174..340; /note="Alcohol dehydrogenase-like C-terminal"; /evidence="ECO:0000259|Pfam:PF00107"	
A0A375YD40	unreviewed	Putative fatty-acid-CoA ligase FadD7 (Fatty-acid-CoA synthetase) (Fatty-acid-CoA synthase) [Mycobacterium tuberculosis H37Rv]	MPP7335_00711	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	462	IPR025110;IPR045851;IPR020845;IPR000873;IPR042099;	PF00501;PF13193;		DOMAIN 9..91; /note="AMP-dependent synthetase/ligase"; /evidence="ECO:0000259|Pfam:PF00501"; DOMAIN 107..312; /note="AMP-dependent synthetase/ligase"; /evidence="ECO:0000259|Pfam:PF00501"; DOMAIN 363..436; /note="AMP-binding enzyme C-terminal"; /evidence="ECO:0000259|Pfam:PF13193"	
A0A375YDE0	unreviewed	Putative oxidoreductase [Mycobacterium tuberculosis H37Rv]	MPP7335_00870	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	459	IPR004113;IPR016166;IPR036318;IPR016169;IPR016164;IPR051914;IPR006094;IPR016171;	PF02913;PF01565;		DOMAIN 41..219; /note="FAD-binding PCMH-type"; /evidence="ECO:0000259|PROSITE:PS51387"	
A0A375YDE5	unreviewed	Mce-family protein Mce4B [Mycobacterium tuberculosis H37Rv]	MPP7335_00879	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	343	IPR005693;IPR003399;IPR024516;IPR052336;	PF11887;PF02470;		DOMAIN 37..111; /note="Mce/MlaD"; /evidence="ECO:0000259|Pfam:PF02470"; DOMAIN 115..330; /note="Mammalian cell entry C-terminal"; /evidence="ECO:0000259|Pfam:PF11887"	
A0A375YDE9	unreviewed	Mce-family protein Mce4C [Mycobacterium tuberculosis H37Rv]	MPP7335_00880	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	345	IPR005693;IPR003399;IPR024516;IPR052336;	PF11887;PF02470;		DOMAIN 30..106; /note="Mce/MlaD"; /evidence="ECO:0000259|Pfam:PF02470"; DOMAIN 177..295; /note="Mammalian cell entry C-terminal"; /evidence="ECO:0000259|Pfam:PF11887"	
A0A375YDF7	unreviewed	Putative monooxygenase [Mycobacterium tuberculosis H37Rv]	MPP7335_00905 MPRF_14400	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	94	IPR032371;	PF16170;		DOMAIN 9..93; /note="DUF4873"; /evidence="ECO:0000259|Pfam:PF16170"	
A0A375YDG1	unreviewed	Mce-family protein Mce4A [Mycobacterium tuberculosis H37Rv]	MPP7335_00878	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	400	IPR005693;IPR003399;IPR024516;IPR052336;	PF11887;PF02470;		DOMAIN 40..118; /note="Mce/MlaD"; /evidence="ECO:0000259|Pfam:PF02470"; DOMAIN 122..340; /note="Mammalian cell entry C-terminal"; /evidence="ECO:0000259|Pfam:PF11887"	
A0A375YDG3	unreviewed	Putative transcriptional regulatory protein [Mycobacterium tuberculosis H37Rv]	MPP7335_00831	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	164	IPR009057;IPR050109;IPR001647;	PF00440;		DOMAIN 1..56; /note="HTH tetR-type"; /evidence="ECO:0000259|PROSITE:PS50977"	
A0A375YDJ0	unreviewed	Putative oxidoreductase [Mycobacterium tuberculosis H37Rv]	MPP7335_00887	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	305	IPR019952;IPR011251;IPR036661;IPR050172;	PF00296;		DOMAIN 22..242; /note="Luciferase-like"; /evidence="ECO:0000259|Pfam:PF00296"	
A0A375YDJ3	unreviewed	Mce-family protein Mce4F [Mycobacterium tuberculosis H37Rv]	MPP7335_00883	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	552	IPR005693;IPR003399;IPR024516;IPR052336;	PF11887;PF02470;		DOMAIN 39..114; /note="Mce/MlaD"; /evidence="ECO:0000259|Pfam:PF02470"; DOMAIN 121..284; /note="Mammalian cell entry C-terminal"; /evidence="ECO:0000259|Pfam:PF11887"	REGION 425..450; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
A0A375YDJ8	unreviewed	Putative Mce-family lipoprotein LprN (Mce-family lipoprotein Mce4E) [Mycobacterium tuberculosis H37Rv]	MPP7335_00882	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	390	IPR005693;IPR003399;IPR052336;	PF02470;		DOMAIN 47..124; /note="Mce/MlaD"; /evidence="ECO:0000259|Pfam:PF02470"	
A0A375YDK0	unreviewed	Putative hydrolase [Mycobacterium tuberculosis H37Rv]	MPP7335_00918	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	314	IPR000073;IPR029058;IPR050228;	PF12697;		DOMAIN 69..306; /note="AB hydrolase-1"; /evidence="ECO:0000259|Pfam:PF12697"	
A0A375YDL1	unreviewed	Putative poly(A) polymerase PcnA (Polynucleotide adenylyltransferase) (NTP polymerase) (RNA adenylating enzyme) (Poly(A) polymerase) [Mycobacterium tuberculosis H37Rv]	MPP7335_00936	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	485	IPR050264;IPR003607;IPR006674;IPR006675;IPR043519;IPR002646;IPR032828;IPR014065;	PF01966;PF01743;PF12627;		DOMAIN 267..433; /note="HD/PDEase"; /evidence="ECO:0000259|SMART:SM00471"	
A0A375YDL5	unreviewed	Mce-family protein Mce4D [Mycobacterium tuberculosis H37Rv]	MPP7335_00881	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	441	IPR005693;IPR003399;IPR024516;IPR052336;	PF11887;PF02470;		DOMAIN 39..112; /note="Mce/MlaD"; /evidence="ECO:0000259|Pfam:PF02470"; DOMAIN 119..302; /note="Mammalian cell entry C-terminal"; /evidence="ECO:0000259|Pfam:PF11887"	
A0A375YDM0	unreviewed	Putative chromosome partitioning protein ParB [Mycobacterium tuberculosis H37Rv]	MPP7335_00946	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	334	IPR050336;IPR041468;IPR004437;IPR036086;IPR057240;IPR003115;	PF17762;PF23552;PF02195;		DOMAIN 67..162; /note="ParB-like N-terminal"; /evidence="ECO:0000259|SMART:SM00470"	REGION 1..39; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
A0A375YDM2	unreviewed	Enhanced intracellular survival protein Eis,GCN5-related N-acetyltransferase [Mycobacterium tuberculosis H37Rv]	MPP7335_00917	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	406	IPR041380;IPR051554;IPR016181;IPR025559;IPR000182;IPR022902;IPR036527;	PF17668;PF13527;PF13530;		DOMAIN 14..171; /note="N-acetyltransferase"; /evidence="ECO:0000259|PROSITE:PS51186"	
A0A375YDN4	unreviewed	Putative peptidoglycan hydrolase [Mycobacterium tuberculosis H37Rv]	MPP7335_00944	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	395	IPR051922;IPR002508;IPR002477;IPR036365;IPR036366;	PF01520;PF01471;		DOMAIN 247..362; /note="MurNAc-LAA"; /evidence="ECO:0000259|SMART:SM00646"	
A0A375YDN6	unreviewed	Putative transcriptional regulatory protein (Probably GntR-family) [Mycobacterium tuberculosis H37Rv]	MPP7335_00922	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	217	IPR008920;IPR000524;IPR036388;IPR036390;	PF00392;		DOMAIN 7..74; /note="HTH gntR-type"; /evidence="ECO:0000259|PROSITE:PS50949"	
A0A375YDP0	unreviewed	Putative anthranilate synthase component II TrpG (Glutamine amidotransferase) [Mycobacterium tuberculosis H37Rv]	MPP7335_00972	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	224	IPR050472;IPR029062;IPR017926;IPR006221;	PF00117;		DOMAIN 4..191; /note="Glutamine amidotransferase"; /evidence="ECO:0000259|Pfam:PF00117"	
A0A375YDP3	unreviewed	Putative mutator protein MutT4 [Mycobacterium tuberculosis H37Rv]	MPP7335_00937	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	193	IPR020476;IPR015797;IPR020084;IPR000086;	PF00293;		DOMAIN 1..137; /note="Nudix hydrolase"; /evidence="ECO:0000259|PROSITE:PS51462"	REGION 143..193; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
A0A375YDQ2	unreviewed	Putative chromosome partitioning protein ParA [Mycobacterium tuberculosis H37Rv]	MPP7335_00947	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	329	IPR025669;IPR050678;IPR027417;	PF13614;		DOMAIN 67..244; /note="AAA"; /evidence="ECO:0000259|Pfam:PF13614"	REGION 1..41; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
A0A375YDQ3	unreviewed	Putative oxidoreductase [Mycobacterium tuberculosis H37Rv]	MPP7335_00921	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	269	IPR022480;IPR011251;IPR036661;IPR050172;	PF00296;		DOMAIN 13..232; /note="Luciferase-like"; /evidence="ECO:0000259|Pfam:PF00296"	
A0A375YDR4	unreviewed	Putative cell division protein RodA [Mycobacterium tuberculosis H37Rv]	MPP7335_00976	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	470	IPR001182;	PF01098;			
A0A375YDU1	unreviewed	10 kDa culture filtrate antigen EsxB (LHP) (CFP10) [Mycobacterium tuberculosis H37Rv]	MPP7335_01029	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	104	IPR036689;IPR010310;	PF06013;			
A0A375YDV5	unreviewed	Putative quinone oxidoreductase (NADPH:quinone oxidoreductase) (Zeta-crystallin) [Mycobacterium tuberculosis H37Rv]	MPP7335_01053	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	322	IPR013149;IPR013154;IPR020843;IPR011032;IPR036291;IPR002364;IPR051397;	PF08240;PF00107;		DOMAIN 11..318; /note="Enoyl reductase (ER)"; /evidence="ECO:0000259|SMART:SM00829"	
A0A375YDW0	unreviewed	Putative transcriptional regulatory protein (Possibly TetR-family) [Mycobacterium tuberculosis H37Rv]	MPP7335_01049	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	187	IPR009057;IPR050109;IPR001647;IPR036271;IPR011075;	PF16859;PF00440;		DOMAIN 1..54; /note="HTH tetR-type"; /evidence="ECO:0000259|PROSITE:PS50977"	
A0A375YDX0	unreviewed	Putative short-chain type dehydrogenase/reductase [Mycobacterium tuberculosis H37Rv]	MPP7335_01052	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	287	IPR057326;IPR036291;IPR051687;IPR020904;IPR002347;	PF00106;		DOMAIN 7..203; /note="Ketoreductase"; /evidence="ECO:0000259|SMART:SM00822"	
