gene_id,locus_tag,gene_name,cds_length,wt_logprob,mut_logprob,delta_ll
Rv1951c,Rv1951c,NA,294,-1.1015625,-1.078125,0.0234375
Rv1952,Rv1952,vapB14,213,-1.140625,-1.1328125,0.0078125
Rv1953,Rv1953,vapC14,309,-1.140625,-1.1171875,0.0234375
Rv1954c,Rv1954c,NA,519,-1.15625,-1.1015625,0.0546875
Rv1955,Rv1955,higB,375,-1.1484375,-1.109375,0.0390625
Rv1956,Rv1956,higA,447,-1.1328125,-1.0859375,0.046875
Rv1957,Rv1957,NA,543,-1.1328125,-1.0703125,0.0625
Rv1958c,Rv1958c,NA,612,-1.1328125,-1.0625,0.0703125
Rv1959c,Rv1959c,parE1,294,-1.1171875,-1.109375,0.0078125
Rv1960c,Rv1960c,parD1,249,-1.09375,-1.09375,0
Rv1961,Rv1961,NA,492,-1.0625,-1.0234375,0.0390625
Rv1962c,Rv1962c,vapC35,405,-1.0234375,-1,0.0234375
Rv1962A,Rv1962A,vapB35,270,-1.015625,-1.0078125,0.0078125
Rv1963c,Rv1963c,mce3R,1218,-0.94921875,-0.88671875,0.0625
Rv1964,Rv1964,yrbE3A,795,-0.79296875,-0.79296875,0
Rv1965,Rv1965,yrbE3B,813,-0.7578125,-0.76171875,-0.00390625
Rv1966,Rv1966,mce3A,1275,-0.70703125,-0.71484375,-0.0078125
Rv1967,Rv1967,mce3B,1026,-0.64453125,-0.671875,-0.02734375
Rv1968,Rv1968,mce3C,1230,-0.58984375,-0.61328125,-0.0234375
Rv1969,Rv1969,mce3D,1269,-0.58984375,-0.6171875,-0.02734375
Rv1970,Rv1970,lprM,1131,-0.65234375,-0.6796875,-0.02734375
Rv1971,Rv1971,mce3F,1311,-0.66015625,-0.671875,-0.01171875
Rv1972,Rv1972,NA,573,-0.71875,-0.71875,0
Rv1973,Rv1973,NA,480,-0.75,-0.7578125,-0.0078125
Rv1974,Rv1974,NA,375,-0.76953125,-0.765625,0.00390625
Rv1975,Rv1975,NA,663,-0.8046875,-0.79296875,0.01171875
Rv1976c,Rv1976c,NA,405,-0.828125,-0.82421875,0.00390625
Rv1977,Rv1977,NA,1044,-0.859375,-0.83984375,0.01953125
Rv1978,Rv1978,NA,846,-0.90234375,-0.86328125,0.0390625
Rv1979c,Rv1979c,NA,1443,-0.89453125,-0.81640625,0.078125
Rv1980c,Rv1980c,mpt64,684,-0.9453125,-0.91796875,0.02734375
Rv1981c,Rv1981c,nrdF1,966,-0.921875,-0.8984375,0.0234375
Rv1982c,Rv1982c,vapC36,417,-0.91796875,-0.8984375,0.01953125
Rv1982A,Rv1982A,vapB36,258,-0.91015625,-0.90625,0.00390625
Rv1983,Rv1983,PE_PGRS35,1674,-0.91796875,-0.83203125,0.0859375
Rv1984c,Rv1984c,cfp21,651,-0.9296875,-0.90625,0.0234375
RV1984a,RV1984a,NA,228,-0.9375,-0.93359375,0.00390625
Rv1985c,Rv1985c,NA,909,-0.95703125,-0.9296875,0.02734375
Rv1986,Rv1986,NA,597,-0.97265625,-0.95703125,0.015625
Rv1987,Rv1987,NA,426,-0.96484375,-0.94921875,0.015625
Rv1988,Rv1988,erm(37),537,-0.91796875,-0.890625,0.02734375
Rv1989c,Rv1989c,NA,558,-0.890625,-0.86328125,0.02734375
Rv1990c,Rv1990c,NA,339,-0.88671875,-0.90234375,-0.015625
Rv1991c,Rv1991c,mazF6,342,-0.9140625,-0.91796875,-0.00390625
Rv1991A,Rv1991A,mazE6,246,-0.921875,-0.93359375,-0.01171875
Rv1992c,Rv1992c,ctpG,2313,-0.89453125,-0.8359375,0.05859375
Rv1993c,Rv1993c,NA,270,-0.84375,-0.83203125,0.01171875
Rv1994c,Rv1994c,cmtR,354,-0.84765625,-0.83984375,0.0078125
Rv1995,Rv1995,NA,765,-0.78125,-0.76171875,0.01953125
Rv1996,Rv1996,NA,951,-0.7890625,-0.75390625,0.03515625
Rv1997,Rv1997,ctpF,2715,-0.80078125,-0.76171875,0.0390625
Rv1998c,Rv1998c,NA,774,-0.796875,-0.76953125,0.02734375
Rv1999c,Rv1999c,NA,1320,-0.77734375,-0.765625,0.01171875
Rv2000,Rv2000,NA,1611,-0.76953125,-0.7421875,0.02734375
Rv2001,Rv2001,NA,750,-0.796875,-0.77734375,0.01953125
Rv2002,Rv2002,fabG3,780,-0.81640625,-0.81640625,0
Rv2003c,Rv2003c,NA,855,-0.83203125,-0.78515625,0.046875
Rv2004c,Rv2004c,NA,1494,-0.82421875,-0.78515625,0.0390625
Rv2005c,Rv2005c,NA,885,-0.80859375,-0.79296875,0.015625
Rv2006,Rv2006,otsB1,3981,-0.87890625,-0.7734375,0.10546875
Rv2007c,Rv2007c,fdxA,342,-0.91015625,-0.90625,0.00390625
Rv2008c,Rv2008c,NA,1323,-0.87109375,-0.8203125,0.05078125
Rv2009,Rv2009,vapB15,240,-0.89453125,-0.890625,0.00390625
Rv2010,Rv2010,vapC15,396,-0.86328125,-0.84765625,0.015625
Rv2011c,Rv2011c,NA,429,-0.85546875,-0.83984375,0.015625
Rv2012,Rv2012,NA,492,-0.91015625,-0.87890625,0.03125
Rv2015c,Rv2015c,NA,1254,-0.94921875,-0.92578125,0.0234375
Rv2016,Rv2016,NA,573,-0.94140625,-0.890625,0.05078125
Rv2017,Rv2017,NA,1038,-0.96484375,-0.90625,0.05859375
Rv2018,Rv2018,NA,717,-0.90625,-0.875,0.03125
Rv2019,Rv2019,NA,414,-0.9375,-0.9140625,0.0234375
Rv2021c,Rv2021c,NA,303,-0.96875,-0.95703125,0.01171875
Rv2022c,Rv2022c,NA,603,-0.9609375,-0.92578125,0.03515625
Rv2023c,Rv2023c,NA,357,-0.94140625,-0.921875,0.01953125
Rv2024c,Rv2024c,NA,1545,-0.8828125,-0.84765625,0.03515625
Rv2025c,Rv2025c,NA,996,-0.84765625,-0.8359375,0.01171875
Rv2026c,Rv2026c,NA,882,-0.82421875,-0.80859375,0.015625
Rv2027c,Rv2027c,dosT,1719,-0.71875,-0.69921875,0.01953125
Rv2028c,Rv2028c,NA,837,-0.73828125,-0.7109375,0.02734375
Rv2029c,Rv2029c,pfkB,1017,-0.73046875,-0.72265625,0.0078125
Rv2030c,Rv2030c,NA,2043,-0.7421875,-0.74609375,-0.00390625
Rv2031c,Rv2031c,hspX,432,-0.7421875,-0.7421875,0
Rv2032,Rv2032,acg,993,-0.69921875,-0.6953125,0.00390625
Rv2033c,Rv2033c,NA,840,-0.6640625,-0.67578125,-0.01171875
Rv2034,Rv2034,NA,321,-0.65625,-0.671875,-0.015625
Rv2035,Rv2035,NA,486,-0.6484375,-0.65625,-0.0078125
Rv2036,Rv2036,NA,639,-0.64453125,-0.6484375,-0.00390625
Rv2037c,Rv2037c,NA,972,-0.66015625,-0.671875,-0.01171875
Rv2038c,Rv2038c,NA,1071,-0.64453125,-0.6640625,-0.01953125
Rv2039c,Rv2039c,NA,840,-0.6484375,-0.671875,-0.0234375
Rv2040c,Rv2040c,NA,900,-0.63671875,-0.66015625,-0.0234375
Rv2041c,Rv2041c,NA,1317,-0.640625,-0.66015625,-0.01953125
Rv2042c,Rv2042c,NA,795,-0.640625,-0.640625,0
Rv2043c,Rv2043c,pncA,558,-0.66796875,-0.6796875,-0.01171875
Rv2044c,Rv2044c,NA,315,-0.6875,-0.69140625,-0.00390625
Rv2045c,Rv2045c,lipT,1533,-0.703125,-0.71875,-0.015625
Rv2046,Rv2046,lppI,654,-0.68359375,-0.68359375,0
Rv2047c,Rv2047c,NA,2562,-0.66796875,-0.64453125,0.0234375
Rv2048c,Rv2048c,pks12,12453,-0.546875,-0.62890625,-0.08203125
Rv2049c,Rv2049c,NA,222,-0.609375,-0.62109375,-0.01171875
Rv2050,Rv2050,NA,333,-0.58984375,-0.6171875,-0.02734375
Rv2051c,Rv2051c,ppm1,2622,-0.63671875,-0.6640625,-0.02734375
Rv2052c,Rv2052c,NA,1602,-0.7421875,-0.73828125,0.00390625
Rv2053c,Rv2053c,fxsA,525,-0.73046875,-0.71484375,0.015625
Rv2054,Rv2054,NA,711,-0.6953125,-0.70703125,-0.01171875
Rv2055c,Rv2055c,rpsR2,264,-0.6953125,-0.69921875,-0.00390625
Rv2056c,Rv2056c,rpsN2,303,-0.70703125,-0.71875,-0.01171875
Rv2057c,Rv2057c,rpmG1,162,-0.69140625,-0.7109375,-0.01953125
Rv2058c,Rv2058c,rpmB2,234,-0.671875,-0.69140625,-0.01953125
Rv2059,Rv2059,NA,1533,-0.625,-0.59765625,0.02734375
Rv2060,Rv2060,NA,399,-0.625,-0.625,0
Rv2061c,Rv2061c,NA,402,-0.640625,-0.65234375,-0.01171875
Rv2062c,Rv2062c,cobN,3582,-0.59375,-0.66796875,-0.07421875
Rv2063,Rv2063,mazE7,231,-0.50390625,-0.51953125,-0.015625
Rv2063A,Rv2063A,mazF7,408,-0.515625,-0.52734375,-0.01171875
Rv2064,Rv2064,cobG,1089,-0.54296875,-0.56640625,-0.0234375
Rv2065,Rv2065,cobH,624,-0.6171875,-0.640625,-0.0234375
Rv2066,Rv2066,cobIJ,1524,-0.6171875,-0.65625,-0.0390625
Rv2067c,Rv2067c,NA,1221,-0.640625,-0.640625,0
Rv2068c,Rv2068c,blaC,921,-0.60546875,-0.60546875,0
Rv2069,Rv2069,sigC,555,-0.63671875,-0.65234375,-0.015625
Rv2070c,Rv2070c,cobK,732,-0.67578125,-0.68359375,-0.0078125
Rv2071c,Rv2071c,cobM,753,-0.7421875,-0.75390625,-0.01171875
Rv2072c,Rv2072c,cobL,1170,-0.80859375,-0.80078125,0.0078125
Rv2073c,Rv2073c,NA,747,-0.859375,-0.86328125,-0.00390625
Rv2074,Rv2074,NA,411,-0.87890625,-0.8828125,-0.00390625
Rv2075c,Rv2075c,NA,1461,-0.87890625,-0.7734375,0.10546875
Rv2076c,Rv2076c,NA,249,-0.94140625,-0.92578125,0.015625
Rv2077c,Rv2077c,NA,969,-0.98828125,-0.90625,0.08203125
Rv2077A,Rv2077A,NA,297,-1.046875,-1.0234375,0.0234375
Rv2078,Rv2078,NA,312,-1.109375,-1.0859375,0.0234375
Rv2079,Rv2079,NA,1968,-1.1015625,-0.98046875,0.12109375
Rv2080,Rv2080,lppJ,561,-1.078125,-1.0234375,0.0546875
Rv2081c,Rv2081c,NA,438,-1.09375,-1.0546875,0.0390625
Rv2082,Rv2082,NA,2163,-1.0546875,-0.90625,0.1484375
Rv2083,Rv2083,NA,942,-1.0859375,-1,0.0859375
Rv2084,Rv2084,NA,1134,-1.0234375,-0.921875,0.1015625
Rv2085,Rv2085,NA,303,-0.98828125,-0.96875,0.01953125
Rv2086,Rv2086,NA,603,-0.9375,-0.91015625,0.02734375
Rv2088,Rv2088,pknJ,1767,-0.8515625,-0.77734375,0.07421875
Rv2089c,Rv2089c,pepE,1125,-0.78125,-0.7890625,-0.0078125
Rv2090,Rv2090,NA,1179,-0.6484375,-0.68359375,-0.03515625
Rv2091c,Rv2091c,NA,732,-0.61328125,-0.62109375,-0.0078125
Rv2092c,Rv2092c,helY,2718,-0.5703125,-0.62890625,-0.05859375
Rv2093c,Rv2093c,tatC,924,-0.51171875,-0.5546875,-0.04296875
Rv2094c,Rv2094c,tatA,249,-0.51953125,-0.54296875,-0.0234375
Rv2095c,Rv2095c,pafC,948,-0.546875,-0.58203125,-0.03515625
Rv2096c,Rv2096c,pafB,996,-0.578125,-0.61328125,-0.03515625
Rv2097c,Rv2097c,pafA,1356,-0.64453125,-0.6953125,-0.05078125
Rv2100,Rv2100,NA,1650,-0.671875,-0.66015625,0.01171875
Rv2101,Rv2101,helZ,3039,-0.76171875,-0.72265625,0.0390625
Rv2102,Rv2102,NA,714,-0.78515625,-0.78125,0.00390625
Rv2103c,Rv2103c,vapC37,432,-0.83984375,-0.8359375,0.00390625
Rv2104c,Rv2104c,vapB37,252,-0.83203125,-0.8359375,-0.00390625
Rv2104a,Rv2104a,NA,255,-0.84375,-0.83984375,0.00390625
Rv2107,Rv2107,PE22,294,-0.7734375,-0.765625,0.0078125
Rv2108,Rv2108,PPE36,729,-0.73828125,-0.70703125,0.03125
Rv2109c,Rv2109c,prcA,744,-0.7578125,-0.77734375,-0.01953125
Rv2110c,Rv2110c,prcB,873,-0.73046875,-0.75,-0.01953125
Rv2111c,Rv2111c,pup,192,-0.7421875,-0.765625,-0.0234375
Rv2112c,Rv2112c,dop,1662,-0.70703125,-0.75390625,-0.046875
Rv2113,Rv2113,NA,1191,-0.58203125,-0.578125,0.00390625
Rv2114,Rv2114,NA,621,-0.55859375,-0.578125,-0.01953125
Rv2115c,Rv2115c,mpa,1827,-0.5703125,-0.640625,-0.0703125
Rv2116,Rv2116,lppK,567,-0.62109375,-0.62109375,0
Rv2117,Rv2117,NA,291,-0.60546875,-0.62109375,-0.015625
Rv2118c,Rv2118c,NA,840,-0.640625,-0.6640625,-0.0234375
Rv2119,Rv2119,NA,834,-0.60546875,-0.62890625,-0.0234375
Rv2120c,Rv2120c,NA,480,-0.63671875,-0.64453125,-0.0078125
Rv2121c,Rv2121c,hisG,852,-0.62890625,-0.66015625,-0.03125
Rv2122c,Rv2122c,hisE,279,-0.6015625,-0.625,-0.0234375
Rv2123,Rv2123,PPE37,1419,-0.5859375,-0.5546875,0.03125
Rv2124c,Rv2124c,metH,3576,-0.64453125,-0.6875,-0.04296875
Rv2125,Rv2125,NA,876,-0.625,-0.6484375,-0.0234375
Rv2126c,Rv2126c,PE_PGRS37,768,-0.625,-0.58984375,0.03515625
Rv2127,Rv2127,ansP1,1467,-0.67578125,-0.6875,-0.01171875
Rv2128,Rv2128,NA,201,-0.70703125,-0.703125,0.00390625
Rv2129c,Rv2129c,NA,879,-0.68359375,-0.69140625,-0.0078125
Rv2130c,Rv2130c,mshC,1242,-0.6875,-0.70703125,-0.01953125
Rv2131c,Rv2131c,cysQ,801,-0.65625,-0.6640625,-0.0078125
Rv2132,Rv2132,NA,228,-0.65625,-0.6640625,-0.0078125
Rv2133c,Rv2133c,NA,786,-0.66015625,-0.67578125,-0.015625
Rv2134c,Rv2134c,NA,585,-0.625,-0.65625,-0.03125
Rv2135c,Rv2135c,NA,708,-0.62109375,-0.640625,-0.01953125
Rv2136c,Rv2136c,NA,828,-0.6328125,-0.65625,-0.0234375
Rv2137c,Rv2137c,NA,411,-0.6171875,-0.62109375,-0.00390625
Rv2138,Rv2138,lppL,1074,-0.65234375,-0.65625,-0.00390625
Rv2139,Rv2139,pyrD,1071,-0.703125,-0.71875,-0.015625
Rv2140c,Rv2140c,TB18.6,528,-0.734375,-0.75,-0.015625
Rv2141c,Rv2141c,NA,1344,-0.7421875,-0.7578125,-0.015625
Rv2142c,Rv2142c,parE2,315,-0.703125,-0.6953125,0.0078125
Rv2142A,Rv2142A,parD2,213,-0.71484375,-0.71484375,0
Rv2143,Rv2143,NA,1056,-0.6875,-0.66015625,0.02734375
Rv2144c,Rv2144c,NA,354,-0.72265625,-0.71875,0.00390625
Rv2145c,Rv2145c,wag31,780,-0.66015625,-0.6875,-0.02734375
Rv2146c,Rv2146c,NA,288,-0.7109375,-0.7421875,-0.03125
Rv2147c,Rv2147c,NA,723,-0.68359375,-0.7109375,-0.02734375
Rv2148c,Rv2148c,NA,774,-0.63671875,-0.65625,-0.01953125
Rv2149c,Rv2149c,yfiH,750,-0.55078125,-0.58203125,-0.03125
Rv2150c,Rv2150c,ftsZ,1137,-0.5625,-0.61328125,-0.05078125
Rv2151c,Rv2151c,ftsQ,942,-0.5234375,-0.5546875,-0.03125
Rv2152c,Rv2152c,murC,1482,-0.5234375,-0.578125,-0.0546875
Rv2153c,Rv2153c,murG,1230,-0.50390625,-0.5390625,-0.03515625
Rv2154c,Rv2154c,ftsW,1572,-0.515625,-0.55078125,-0.03515625
Rv2155c,Rv2155c,murD,1458,-0.5078125,-0.55078125,-0.04296875
Rv2156c,Rv2156c,murX,1077,-0.5703125,-0.61328125,-0.04296875
Rv2157c,Rv2157c,murF,1530,-0.6171875,-0.640625,-0.0234375
Rv2158c,Rv2158c,murE,1605,-0.64453125,-0.65234375,-0.0078125
Rv2159c,Rv2159c,NA,1032,-0.66796875,-0.625,0.04296875
Rv2161c,Rv2161c,NA,864,-0.69921875,-0.67578125,0.0234375
Rv2162c,Rv2162c,PE_PGRS38,1596,-0.72265625,-0.671875,0.05078125
Rv2163c,Rv2163c,pbpB,2037,-0.7109375,-0.71484375,-0.00390625
Rv2164c,Rv2164c,NA,1152,-0.67578125,-0.65625,0.01953125
Rv2165c,Rv2165c,NA,1188,-0.671875,-0.69140625,-0.01953125
Rv2166c,Rv2166c,NA,429,-0.640625,-0.67578125,-0.03515625
Rv2169c,Rv2169c,NA,402,-0.6484375,-0.671875,-0.0234375
Rv2170,Rv2170,NA,618,-0.625,-0.6484375,-0.0234375
Rv2171,Rv2171,lppM,681,-0.60546875,-0.62890625,-0.0234375
Rv2172c,Rv2172c,NA,903,-0.60546875,-0.6328125,-0.02734375
Rv2173,Rv2173,idsA2,1056,-0.63671875,-0.65234375,-0.015625
Rv2174,Rv2174,mptA,1548,-0.65625,-0.6796875,-0.0234375
Rv2175c,Rv2175c,NA,438,-0.65234375,-0.67578125,-0.0234375
Rv2176,Rv2176,pknL,1197,-0.6484375,-0.66796875,-0.01953125
Rv2177c,Rv2177c,NA,663,-0.64453125,-0.63671875,0.0078125
Rv2178c,Rv2178c,aroG,1386,-0.65625,-0.69921875,-0.04296875
Rv2179c,Rv2179c,NA,504,-0.6640625,-0.6796875,-0.015625
Rv2180c,Rv2180c,NA,885,-0.66015625,-0.6640625,-0.00390625
Rv2181,Rv2181,NA,1281,-0.63671875,-0.65234375,-0.015625
Rv2182c,Rv2182c,NA,741,-0.59375,-0.6171875,-0.0234375
Rv2183c,Rv2183c,NA,393,-0.6015625,-0.6171875,-0.015625
Rv2184c,Rv2184c,NA,1137,-0.609375,-0.6484375,-0.0390625
Rv2185c,Rv2185c,TB16.3,432,-0.60546875,-0.6328125,-0.02734375
Rv2186c,Rv2186c,NA,387,-0.609375,-0.62890625,-0.01953125
Rv2187,Rv2187,fadD15,1800,-0.6484375,-0.671875,-0.0234375
Rv2188c,Rv2188c,pimB,1155,-0.62890625,-0.66015625,-0.03125
Rv2189c,Rv2189c,NA,771,-0.63671875,-0.63671875,0
Rv2190c,Rv2190c,NA,1155,-0.6171875,-0.6328125,-0.015625
Rv2191,Rv2191,NA,1935,-0.59375,-0.62109375,-0.02734375
Rv2192c,Rv2192c,trpD,1110,-0.57421875,-0.6171875,-0.04296875
Rv2193,Rv2193,ctaE,609,-0.5859375,-0.6328125,-0.046875
Rv2194,Rv2194,qcrC,840,-0.546875,-0.609375,-0.0625
Rv2195,Rv2195,qcrA,1287,-0.578125,-0.625,-0.046875
Rv2196,Rv2196,qcrB,1647,-0.5546875,-0.625,-0.0703125
Rv2197c,Rv2197c,NA,642,-0.53125,-0.5390625,-0.0078125
Rv2198c,Rv2198c,mmpS3,897,-0.52734375,-0.5546875,-0.02734375
Rv2199c,Rv2199c,NA,417,-0.53125,-0.56640625,-0.03515625
Rv2200c,Rv2200c,ctaC,1089,-0.5703125,-0.62109375,-0.05078125
Rv2201,Rv2201,asnB,1956,-0.62109375,-0.6640625,-0.04296875
Rv2202c,Rv2202c,adoK,972,-0.61328125,-0.6484375,-0.03515625
Rv2203,Rv2203,NA,690,-0.625,-0.6328125,-0.0078125
Rv2204c,Rv2204c,NA,354,-0.62109375,-0.6640625,-0.04296875
Rv2205c,Rv2205c,NA,1074,-0.6796875,-0.703125,-0.0234375
Rv2206,Rv2206,NA,708,-0.7265625,-0.73046875,-0.00390625
Rv2207,Rv2207,cobT,1083,-0.7265625,-0.734375,-0.0078125
Rv2208,Rv2208,cobS,747,-0.72265625,-0.7109375,0.01171875
Rv2209,Rv2209,NA,1536,-0.7109375,-0.64453125,0.06640625
Rv2210c,Rv2210c,ilvE,1104,-0.67578125,-0.70703125,-0.03125
Rv2211c,Rv2211c,gcvT,1137,-0.6875,-0.7109375,-0.0234375
Rv2212,Rv2212,NA,1134,-0.65625,-0.671875,-0.015625
Rv2213,Rv2213,pepB,1545,-0.55859375,-0.6015625,-0.04296875
Rv2214c,Rv2214c,ephD,1776,-0.5390625,-0.57421875,-0.03515625
Rv2215,Rv2215,dlaT,1659,-0.54296875,-0.59375,-0.05078125
Rv2216,Rv2216,NA,903,-0.51953125,-0.5546875,-0.03515625
Rv2217,Rv2217,lipB,690,-0.54296875,-0.5703125,-0.02734375
Rv2218,Rv2218,lipA,933,-0.53125,-0.58203125,-0.05078125
Rv2219,Rv2219,NA,750,-0.498046875,-0.53515625,-0.037109375
Rv2219A,Rv2219A,NA,420,-0.486328125,-0.51171875,-0.025390625
Rv2220,Rv2220,glnA1,1434,-0.49609375,-0.5625,-0.06640625
Rv2221c,Rv2221c,glnE,2982,-0.51171875,-0.5703125,-0.05859375
Rv2222c,Rv2222c,glnA2,1338,-0.58984375,-0.6484375,-0.05859375
Rv2223c,Rv2223c,NA,1560,-0.59375,-0.61328125,-0.01953125
Rv2224c,Rv2224c,caeA,1560,-0.625,-0.65234375,-0.02734375
Rv2224d,Rv2224d,NA,219,-0.6484375,-0.640625,0.0078125
Rv2225,Rv2225,panB,843,-0.65234375,-0.67578125,-0.0234375
Rv2226,Rv2226,NA,1539,-0.66796875,-0.671875,-0.00390625
Rv2227,Rv2227,NA,699,-0.6875,-0.703125,-0.015625
Rv2228c,Rv2228c,NA,1092,-0.68359375,-0.6953125,-0.01171875
Rv2229c,Rv2229c,NA,735,-0.6875,-0.69140625,-0.00390625
Rv2230c,Rv2230c,NA,1137,-0.671875,-0.69140625,-0.01953125
Rv2231c,Rv2231c,cobC,1092,-0.66796875,-0.671875,-0.00390625
Rv2231A,Rv2231A,vapC16,423,-0.66015625,-0.6484375,0.01171875
Rv2231B,Rv2231B,vapB16,174,-0.67578125,-0.67578125,0
Rv2232,Rv2232,ptkA,873,-0.66796875,-0.66796875,0
Rv2234,Rv2234,ptpA,489,-0.68359375,-0.69921875,-0.015625
Rv2235,Rv2235,NA,813,-0.6796875,-0.6953125,-0.015625
Rv2236c,Rv2236c,cobD,939,-0.64453125,-0.6484375,-0.00390625
Rv2237,Rv2237,NA,765,-0.62890625,-0.65625,-0.02734375
Rv2237A,Rv2237A,NA,234,-0.5703125,-0.5703125,0
Rv2238c,Rv2238c,ahpE,459,-0.55078125,-0.578125,-0.02734375
Rv2239c,Rv2239c,NA,474,-0.5703125,-0.59765625,-0.02734375
Rv2240c,Rv2240c,NA,588,-0.5703125,-0.58984375,-0.01953125
Rv2241,Rv2241,aceE,2703,-0.50390625,-0.59765625,-0.09375
Rv2242,Rv2242,NA,1242,-0.47265625,-0.54296875,-0.0703125
Rv2243,Rv2243,fabD,906,-0.408203125,-0.470703125,-0.0625
Rv2244,Rv2244,acpM,345,-0.41796875,-0.462890625,-0.044921875
Rv2245,Rv2245,kasA,1248,-0.451171875,-0.52734375,-0.076171875
Rv2246,Rv2246,kasB,1314,-0.47265625,-0.53515625,-0.0625
Rv2247,Rv2247,accD6,1419,-0.49609375,-0.578125,-0.08203125
Rv2248,Rv2248,NA,813,-0.515625,-0.53515625,-0.01953125
Rv2249c,Rv2249c,glpD1,1548,-0.58203125,-0.61328125,-0.03125
Rv2250c,Rv2250c,NA,567,-0.64453125,-0.66015625,-0.015625
Rv2251,Rv2251,NA,1425,-0.64453125,-0.671875,-0.02734375
Rv2252,Rv2252,NA,927,-0.65234375,-0.6640625,-0.01171875
Rv2253,Rv2253,NA,501,-0.64453125,-0.6328125,0.01171875
Rv2254c,Rv2254c,NA,453,-0.64453125,-0.62890625,0.015625
Rv2256a,Rv2256a,NA,192,-0.640625,-0.640625,0
Rv2256c,Rv2256c,NA,531,-0.625,-0.65234375,-0.02734375
Rv2257c,Rv2257c,NA,816,-0.66015625,-0.68359375,-0.0234375
Rv2258c,Rv2258c,NA,1059,-0.68359375,-0.69921875,-0.015625
Rv2259,Rv2259,mscR,1083,-0.69140625,-0.71875,-0.02734375
Rv2260,Rv2260,NA,633,-0.6328125,-0.65625,-0.0234375
Rv2263,Rv2263,NA,951,-0.71875,-0.7265625,-0.0078125
Rv2264c,Rv2264c,NA,1776,-0.7734375,-0.72265625,0.05078125
Rv2265,Rv2265,NA,1227,-0.82421875,-0.7890625,0.03515625
Rv2266,Rv2266,cyp124,1284,-0.890625,-0.87890625,0.01171875
Rv2267c,Rv2267c,NA,1164,-0.9453125,-0.890625,0.0546875
Rv2268c,Rv2268c,cyp128,1467,-0.97265625,-0.88671875,0.0859375
Rv2269c,Rv2269c,NA,330,-0.9921875,-0.9609375,0.03125
Rv2270,Rv2270,lppN,525,-1,-0.97265625,0.02734375
Rv2271,Rv2271,NA,297,-1.0546875,-1.03125,0.0234375
Rv2272,Rv2272,NA,366,-1.03125,-1.0234375,0.0078125
Rv2273,Rv2273,NA,327,-1.015625,-1,0.015625
Rv2274c,Rv2274c,mazF8,315,-1.015625,-0.984375,0.03125
Rv2274A,Rv2274A,mazE8,246,-0.9921875,-0.96875,0.0234375
Rv2275,Rv2275,NA,867,-0.97265625,-0.90625,0.06640625
Rv2276,Rv2276,cyp121,1188,-0.92578125,-0.8671875,0.05859375
Rv2277c,Rv2277c,NA,903,-0.89453125,-0.84765625,0.046875
Rv2281,Rv2281,pitB,1656,-0.78125,-0.75390625,0.02734375
Rv2282c,Rv2282c,NA,936,-0.76953125,-0.7578125,0.01171875
Rv2283,Rv2283,NA,192,-0.77734375,-0.76953125,0.0078125
Rv2284,Rv2284,lipM,1293,-0.7890625,-0.76953125,0.01953125
Rv2285,Rv2285,NA,1335,-0.84375,-0.78125,0.0625
Rv2286c,Rv2286c,NA,690,-0.890625,-0.8828125,0.0078125
Rv2287,Rv2287,yjcE,1626,-0.9296875,-0.8828125,0.046875
Rv2288,Rv2288,NA,375,-0.9453125,-0.91796875,0.02734375
Rv2289,Rv2289,cdh,780,-0.9140625,-0.859375,0.0546875
Rv2290,Rv2290,lppO,513,-0.9375,-0.8984375,0.0390625
Rv2291,Rv2291,sseB,852,-0.92578125,-0.8984375,0.02734375
Rv2292c,Rv2292c,NA,222,-0.9453125,-0.9375,0.0078125
Rv2293c,Rv2293c,NA,738,-0.96875,-0.91015625,0.05859375
Rv2294,Rv2294,NA,1221,-0.90234375,-0.875,0.02734375
Rv2295,Rv2295,NA,636,-0.796875,-0.76953125,0.02734375
Rv2296,Rv2296,NA,900,-0.765625,-0.765625,0
Rv2297,Rv2297,NA,450,-0.765625,-0.73828125,0.02734375
Rv2298,Rv2298,NA,969,-0.734375,-0.75,-0.015625
Rv2299c,Rv2299c,htpG,1941,-0.77734375,-0.7890625,-0.01171875
Rv2300c,Rv2300c,NA,930,-0.796875,-0.77734375,0.01953125
Rv2301,Rv2301,cut2,690,-0.7890625,-0.78515625,0.00390625
Rv2302,Rv2302,NA,240,-0.828125,-0.83203125,-0.00390625
Rv2303c,Rv2303c,NA,921,-0.8359375,-0.796875,0.0390625
Rv2304c,Rv2304c,NA,207,-0.88671875,-0.875,0.01171875
Rv2305,Rv2305,NA,1287,-1.0078125,-0.90625,0.1015625
Rv2307c,Rv2307c,NA,843,-1.0859375,-1.03125,0.0546875
Rv2307A,Rv2307A,NA,189,-1.125,-1.109375,0.015625
Rv2307B,Rv2307B,NA,429,-1.109375,-1.0703125,0.0390625
Rv2307D,Rv2307D,NA,180,-1.1015625,-1.0859375,0.015625
Rv2308,Rv2308,NA,714,-1.125,-1.0625,0.0625
Rv2308a,Rv2308a,NA,330,-1.109375,-1.0703125,0.0390625
Rv2309A,Rv2309A,NA,285,-1.03125,-1.0078125,0.0234375
Rv2310,Rv2310,NA,342,-0.98828125,-0.96875,0.01953125
